Dimensione, Bubblesort, Insertionsort, Selectionsort, Mergesort, Quicksort, Quicksort_ottimo, Standardsort
56,1.49916e-05,4.54945e-06,1.21359e-05,1.88934e-05,3.92001e-06,3.09748e-06,5.52425e-06
57,1.44142e-05,3.83099e-06,8.84281e-06,1.63459e-05,4.75212e-06,3.35494e-06,6.66903e-06
58,1.54073e-05,4.03126e-06,9.35703e-06,1.72698e-05,9.83109e-06,3.85876e-06,9.59314e-06
59,1.7677e-05,4.33065e-06,9.69056e-06,1.66521e-05,4.46606e-06,3.80053e-06,6.23667e-06
60,1.6983e-05,4.95022e-06,1.01328e-05,1.72076e-05,4.34195e-06,3.48016e-06,5.92866e-06
61,2.19439e-05,5.73934e-06,1.19877e-05,1.78696e-05,4.46104e-06,3.616e-06,6.10119e-06
62,1.72227e-05,4.66074e-06,1.053e-05,1.81918e-05,4.59935e-06,5.01528e-06,6.61116e-06
63,1.92491e-05,5.1901e-06,1.80947e-05,2.59795e-05,4.78892e-06,3.64148e-06,6.5421e-06
64,1.90769e-05,5.05061e-06,1.15637e-05,1.83274e-05,5.75216e-06,3.87359e-06,6.58315e-06
65,2.10173e-05,5.22482e-06,1.30876e-05,2.30387e-05,5.942e-06,3.98354e-06,6.54553e-06
66,1.9895e-05,5.99087e-06,1.28631e-05,1.9902e-05,5.15481e-06,3.99755e-06,6.77847e-06
67,2.09514e-05,5.74543e-06,1.29871e-05,2.65319e-05,6.19693e-06,4.34776e-06,7.62432e-06
68,2.1119e-05,5.55855e-06,1.32487e-05,2.11542e-05,5.4418e-06,4.25517e-06,7.52497e-06
69,2.10539e-05,6.86392e-06,1.49972e-05,2.72581e-05,6.71013e-06,4.6078e-06,7.58338e-06
70,2.3561e-05,6.01867e-06,1.45748e-05,2.32017e-05,5.72119e-06,4.6483e-06,7.81398e-06
71,2.35101e-05,7.85459e-06,1.81739e-05,2.32295e-05,5.82593e-06,4.7291e-06,1.09944e-05
72,2.52414e-05,6.90479e-06,1.4781e-05,2.20917e-05,5.91595e-06,4.85286e-06,8.70036e-06
73,2.96891e-05,6.86737e-06,1.56782e-05,2.30203e-05,6.23097e-06,4.81738e-06,8.07383e-06
74,2.5943e-05,7.31142e-06,1.57626e-05,2.57313e-05,7.0752e-06,5.17636e-06,9.28542e-06
75,2.90959e-05,7.41841e-06,1.63179e-05,2.4561e-05,6.34589e-06,4.95546e-06,8.68611e-06
76,2.81526e-05,7.97701e-06,1.91275e-05,2.77304e-05,6.61018e-06,5.19598e-06,8.33339e-06
77,2.79404e-05,7.91375e-06,1.75687e-05,2.5682e-05,6.86959e-06,5.58198e-06,1.07034e-05
78,3.16407e-05,8.50868e-06,1.82465e-05,2.68306e-05,6.87216e-06,5.49122e-06,9.2121e-06
79,2.93921e-05,8.28806e-06,2.10768e-05,2.84988e-05,6.98518e-06,5.54716e-06,9.49074e-06
80,3.08961e-05,8.59543e-06,1.95761e-05,2.8079e-05,8.38321e-06,6.06198e-06,1.03688e-05
81,3.48127e-05,9.3789e-06,2.00932e-05,2.73533e-05,7.62374e-06,5.89673e-06,1.00529e-05
82,3.64725e-05,1.11042e-05,2.25024e-05,2.97781e-05,7.59159e-06,6.34405e-06,1.02807e-05
83,3.48513e-05,9.36567e-06,2.16081e-05,3.20805e-05,7.56377e-06,6.34975e-06,1.02667e-05
84,3.66906e-05,9.96833e-06,2.217e-05,3.13245e-05,9.01852e-06,8.04752e-06,1.14037e-05
85,3.5919e-05,1.00596e-05,2.256e-05,3.2067e-05,8.71648e-06,6.85994e-06,1.1201e-05
86,4.01994e-05,1.05379e-05,2.29987e-05,3.14404e-05,8.48149e-06,6.95312e-06,1.09948e-05
87,4.4971e-05,1.33923e-05,2.45076e-05,3.27302e-05,8.61707e-06,7.1088e-06,1.16346e-05
88,3.95201e-05,1.33593e-05,2.81358e-05,3.49767e-05,9.22343e-06,7.40263e-06,1.20913e-05
89,4.25169e-05,1.15002e-05,2.67014e-05,3.41326e-05,9.17826e-06,7.51273e-06,1.25213e-05
90,4.11938e-05,1.20993e-05,2.63156e-05,3.45045e-05,9.13775e-06,7.57905e-06,1.24554e-05
91,4.35616e-05,1.20945e-05,2.6742e-05,3.40072e-05,9.53954e-06,7.7686e-06,1.2702e-05
92,4.3197e-05,1.21092e-05,2.71238e-05,3.51419e-05,9.51287e-06,7.94188e-06,1.25459e-05
93,4.56447e-05,1.2633e-05,2.86675e-05,3.65143e-05,9.72257e-06,8.22289e-06,1.30209e-05
94,4.54644e-05,1.31893e-05,2.94279e-05,3.65413e-05,9.7967e-06,7.91093e-06,1.27077e-05
95,4.62767e-05,1.3808e-05,2.95309e-05,3.62972e-05,9.80735e-06,1.42088e-05,1.55364e-05
96,4.91952e-05,1.37144e-05,3.04835e-05,3.84767e-05,1.02301e-05,8.45441e-06,1.38279e-05
97,4.88533e-05,1.34635e-05,3.09383e-05,3.90529e-05,1.1062e-05,8.52676e-06,1.45221e-05
98,5.14258e-05,1.46496e-05,3.26653e-05,4.05824e-05,1.06127e-05,8.35679e-06,1.43039e-05
99,5.18223e-05,1.53258e-05,3.35694e-05,4.00195e-05,1.1005e-05,8.68026e-06,1.4768e-05
100,5.44593e-05,1.5036e-05,3.29179e-05,4.13723e-05,1.06968e-05,8.70699e-06,1.45188e-05
