Dimensione, Bubblesort, Insertionsort, Selectionsort, Mergesort, Quicksort, Quicksort_ottimo, Standardsort
56,1.63156e-05,4.29359e-06,9.52592e-06,1.69151e-05,4.31399e-06,3.60864e-06,7.33705e-06
57,2.66255e-05,4.55925e-06,9.56266e-06,1.67293e-05,4.78541e-06,3.15656e-06,5.61837e-06
58,1.74076e-05,5.33442e-06,1.10415e-05,1.90068e-05,4.59306e-06,3.90117e-06,6.20483e-06
59,1.85812e-05,5.49886e-06,1.54993e-05,2.14951e-05,4.42341e-06,3.51335e-06,5.8195e-06
60,1.76258e-05,4.95258e-06,1.09221e-05,2.02692e-05,4.46549e-06,3.70478e-06,6.23944e-06
61,1.82168e-05,4.84495e-06,1.5633e-05,2.48344e-05,5.07255e-06,3.87608e-06,6.14711e-06
62,1.84461e-05,5.54012e-06,1.07457e-05,1.96611e-05,5.19666e-06,3.66367e-06,6.76524e-06
63,1.94117e-05,5.51854e-06,1.22248e-05,2.55992e-05,6.9597e-06,4.45103e-06,6.21086e-06
64,2.01439e-05,4.98647e-06,1.18032e-05,2.12707e-05,4.88421e-06,4.24953e-06,6.5896e-06
65,2.03213e-05,5.40891e-06,1.20606e-05,2.42009e-05,6.49364e-06,5.55868e-06,7.12409e-06
66,2.2912e-05,6.12333e-06,1.29654e-05,2.01783e-05,5.67276e-06,4.1562e-06,6.66542e-06
67,2.33877e-05,6.46242e-06,1.36582e-05,2.89144e-05,6.5447e-06,4.58173e-06,7.01575e-06
68,2.77681e-05,6.56718e-06,1.40482e-05,2.16719e-05,5.80547e-06,4.42279e-06,7.23035e-06
69,2.37328e-05,6.94224e-06,1.88884e-05,2.50342e-05,5.79496e-06,4.83796e-06,8.02463e-06
70,2.45252e-05,6.53103e-06,1.46633e-05,2.39502e-05,5.50904e-06,4.66611e-06,7.58241e-06
71,2.94013e-05,8.84527e-06,1.56924e-05,2.28989e-05,5.64134e-06,4.43517e-06,7.73629e-06
72,2.73251e-05,7.16737e-06,1.56642e-05,2.52543e-05,1.22156e-05,6.8848e-06,8.03554e-06
73,2.70832e-05,7.14853e-06,1.54913e-05,2.37651e-05,6.25056e-06,4.98403e-06,8.05653e-06
74,2.75624e-05,7.76268e-06,1.97745e-05,2.51688e-05,6.07569e-06,4.82298e-06,8.08448e-06
75,2.73595e-05,7.19289e-06,1.56114e-05,2.36946e-05,7.28059e-06,4.93081e-06,8.21854e-06
76,4.08348e-05,7.45811e-06,1.62829e-05,2.41593e-05,6.35307e-06,5.26972e-06,8.55775e-06
77,2.87366e-05,7.86055e-06,1.79361e-05,3.25372e-05,6.56519e-06,5.24565e-06,8.62006e-06
78,3.17726e-05,8.21963e-06,1.78289e-05,2.5175e-05,6.94717e-06,5.59887e-06,2.07521e-05
79,3.75253e-05,8.62864e-06,1.82635e-05,2.67514e-05,6.90185e-06,5.5642e-06,9.49901e-06
80,3.31999e-05,9.3115e-06,2.72833e-05,2.71366e-05,7.06826e-06,5.81306e-06,9.48491e-06
81,3.28783e-05,8.90286e-06,1.93009e-05,3.69978e-05,7.0653e-06,6.01873e-06,9.54669e-06
82,3.44021e-05,9.6159e-06,1.9968e-05,2.94352e-05,7.59884e-06,6.6065e-06,1.02579e-05
83,4.29322e-05,9.36286e-06,2.07165e-05,2.90178e-05,7.603e-06,6.42339e-06,1.02588e-05
84,3.73146e-05,1.11563e-05,2.52403e-05,2.87874e-05,7.55926e-06,5.88428e-06,1.03201e-05
85,3.98503e-05,9.78514e-06,2.21455e-05,3.28075e-05,7.52807e-06,6.2091e-06,1.02013e-05
86,3.77649e-05,1.02251e-05,2.23183e-05,3.43572e-05,1.40148e-05,7.59597e-06,1.07196e-05
87,4.01487e-05,1.05396e-05,2.30557e-05,3.04395e-05,8.24214e-06,6.69355e-06,1.43804e-05
88,4.23527e-05,1.11237e-05,2.33507e-05,3.25546e-05,8.29496e-06,6.99267e-06,1.13734e-05
89,5.1536e-05,1.14361e-05,2.57731e-05,3.4335e-05,8.54392e-06,6.90828e-06,1.15949e-05
90,4.79574e-05,1.18e-05,2.86379e-05,3.45248e-05,9.11798e-06,7.61978e-06,1.22676e-05
91,4.89462e-05,1.35017e-05,2.62933e-05,3.59115e-05,9.36205e-06,7.39486e-06,1.2428e-05
92,5.74248e-05,1.62922e-05,2.73131e-05,3.75319e-05,1.00702e-05,7.69e-06,1.28195e-05
93,6.98047e-05,1.49273e-05,3.00774e-05,3.88562e-05,1.05361e-05,8.55692e-06,1.47912e-05
94,6.57967e-05,1.45563e-05,3.22212e-05,4.49503e-05,1.94105e-05,1.47407e-05,1.38771e-05
95,5.99228e-05,1.49249e-05,3.10376e-05,4.34799e-05,1.08465e-05,8.48115e-06,1.41213e-05
96,5.65552e-05,1.48482e-05,3.30478e-05,4.26683e-05,1.12356e-05,9.1603e-06,1.55601e-05
97,5.84989e-05,1.60453e-05,3.38272e-05,4.40681e-05,1.15497e-05,9.76452e-06,1.53608e-05
98,6.12473e-05,1.58678e-05,3.43858e-05,4.47623e-05,1.28002e-05,9.52407e-06,1.54903e-05
99,6.36277e-05,1.71712e-05,3.56447e-05,4.35578e-05,1.15103e-05,9.8795e-06,1.55773e-05
100,6.16655e-05,1.67059e-05,3.56973e-05,4.45028e-05,1.19888e-05,9.66691e-06,1.57048e-05
