Dimensione, Bubblesort, Insertionsort, Selectionsort, Mergesort, Quicksort, Quicksort_ottimo, Standardsort
57,1.05633e-05,1.58795e-06,3.56e-06,4.20836e-06,1.95504e-06,1.50914e-06,1.73176e-06
58,1.13522e-05,1.92477e-06,4.15489e-06,4.80959e-06,2.31285e-06,2.10988e-06,1.92683e-06
59,1.33588e-05,1.56824e-06,3.73289e-06,4.27212e-06,2.21447e-06,1.59496e-06,1.84135e-06
60,1.14837e-05,1.69589e-06,3.82333e-06,4.60579e-06,2.15572e-06,1.69191e-06,1.81518e-06
61,1.19086e-05,1.7321e-06,4.00099e-06,4.68094e-06,2.11249e-06,1.69364e-06,1.88031e-06
62,1.24621e-05,1.77023e-06,4.01721e-06,4.74154e-06,2.19624e-06,1.74781e-06,1.961e-06
63,1.36574e-05,1.79949e-06,4.09727e-06,4.70909e-06,2.28451e-06,1.95718e-06,2.6613e-06
64,1.63252e-05,1.54809e-06,4.26739e-06,4.64981e-06,2.17958e-06,1.69117e-06,1.88905e-06
65,1.28073e-05,1.77088e-06,4.12536e-06,4.63043e-06,2.28306e-06,1.76447e-06,1.97923e-06
66,1.33026e-05,1.97865e-06,4.28776e-06,4.73664e-06,2.32531e-06,1.81031e-06,2.00825e-06
67,1.36597e-05,1.63999e-06,4.35093e-06,5.04021e-06,2.26469e-06,1.86675e-06,3.58173e-06
68,1.46483e-05,2.20099e-06,4.37371e-06,5.44037e-06,4.52659e-06,3.661e-06,2.70405e-06
69,1.89461e-05,1.68378e-06,4.49772e-06,4.99419e-06,2.35955e-06,2.05112e-06,2.13135e-06
70,1.50765e-05,2.21562e-06,4.58784e-06,5.0604e-06,2.57667e-06,1.93069e-06,2.16722e-06
71,1.53725e-05,2.02338e-06,4.89859e-06,5.10356e-06,2.75185e-06,1.92063e-06,2.15042e-06
72,1.62396e-05,2.25611e-06,9.98077e-06,5.36143e-06,2.57825e-06,2.3836e-06,3.46082e-06
73,2.04565e-05,2.52556e-06,5.31343e-06,5.59879e-06,2.65949e-06,2.18101e-06,2.35622e-06
74,1.72847e-05,1.90779e-06,5.22489e-06,5.75096e-06,2.69751e-06,2.37547e-06,2.38646e-06
75,1.74974e-05,1.96459e-06,5.31621e-06,5.92248e-06,2.74662e-06,2.2136e-06,2.47388e-06
76,1.81946e-05,2.35261e-06,5.43501e-06,6.11451e-06,2.77793e-06,2.19844e-06,2.45491e-06
77,2.11675e-05,2.34119e-06,5.56343e-06,5.67353e-06,2.79337e-06,2.99584e-06,2.67869e-06
78,1.93334e-05,2.37848e-06,5.60453e-06,6.10288e-06,2.90651e-06,2.27406e-06,2.51414e-06
79,2.00848e-05,2.52089e-06,5.86707e-06,5.91157e-06,3.00974e-06,2.30834e-06,2.59937e-06
80,2.07385e-05,2.12224e-06,5.9667e-06,6.13693e-06,2.95393e-06,2.49848e-06,3.27132e-06
81,2.37703e-05,2.54203e-06,5.97121e-06,6.55191e-06,3.02014e-06,2.41162e-06,2.57949e-06
82,2.11064e-05,2.43233e-06,6.86939e-06,6.19411e-06,3.09168e-06,2.52383e-06,2.78812e-06
